Category,ModelID,kawaii_mean,image_path
Escapist-Dreamy,margot,2.8444444444444446,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/margot.jpg
Escapist-Dreamy,matheusz,2.6666666666666665,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/matheusz.jpg
Escapist-Dreamy,pradathi,2.7777777777777777,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/pradathi.jpg
Escapist-Dreamy,renan,3.422222222222222,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/renan.jpg
Escapist-Dreamy,rose,3.185185185185185,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/rose.jpg
Escapist-Dreamy,sanne,2.8333333333333335,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/sanne.jpg
Escapist-Dreamy,victor,2.3125,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/victor.jpg
Joyful-Smiling,kelly,4.411764705882353,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/kelly.jpg
Joyful-Smiling,leandre,3.3333333333333335,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/leandre.jpg
Joyful-Smiling,leandro,3.7777777777777777,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/leandro.jpg
Joyful-Smiling,leslie,3.7450980392156863,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/leslie.jpg
Joyful-Smiling,lorenzo,3.6875,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/lorenzo.jpg
Joyful-Smiling,margot,3.8666666666666667,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/margot.jpg
Joyful-Smiling,matheusz,3.7555555555555555,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/matheusz.jpg
Joyful-Smiling,pradathi,3.6222222222222222,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/pradathi.jpg
Joyful-Smiling,renan,3.8125,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/renan.jpg
Joyful-Smiling,rose,4.117647058823529,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/rose.jpg
Joyful-Smiling,sanne,3.9555555555555557,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/sanne.jpg
Joyful-Smiling,victor,3.6444444444444444,/home/moogs/GitHub/kawaii-polling/static/Joyful-Smiling/victor.jpg
Normal-Warmup,kelly,2.2291666666666665,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/kelly.jpg
Normal-Warmup,leandre,2.111111111111111,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/leandre.jpg
Normal-Warmup,leandro,1.8333333333333333,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/leandro.jpg
Normal-Warmup,leslie,2.0444444444444443,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/leslie.jpg
Normal-Warmup,lorenzo,1.9375,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/lorenzo.jpg
Normal-Warmup,margot,2.311111111111111,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/margot.jpg
Normal-Warmup,matheusz,2.196078431372549,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/matheusz.jpg
Normal-Warmup,pradathi,2.3777777777777778,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/pradathi.jpg
Normal-Warmup,renan,2.375,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/renan.jpg
Normal-Warmup,rose,2.125,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/rose.jpg
Normal-Warmup,sanne,2.1041666666666665,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/sanne.jpg
Normal-Warmup,victor,1.9375,/home/moogs/GitHub/kawaii-polling/static/Normal-Warmup/victor.jpg
Playful-Clumsy,kelly,3.8823529411764706,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/kelly.jpg
Playful-Clumsy,leandre,2.888888888888889,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/leandre.jpg
Playful-Clumsy,leandro,2.814814814814815,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/leandro.jpg
Playful-Clumsy,leslie,2.9166666666666665,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/leslie.jpg
Playful-Clumsy,lorenzo,3.466666666666667,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/lorenzo.jpg
Playful-Clumsy,margot,3.8958333333333335,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/margot.jpg
Playful-Clumsy,matheusz,3.0416666666666665,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/matheusz.jpg
Playful-Clumsy,pradathi,2.8333333333333335,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/pradathi.jpg
Playful-Clumsy,renan,3.9814814814814814,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/renan.jpg
Playful-Clumsy,rose,2.8958333333333335,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/rose.jpg
Playful-Clumsy,sanne,4.083333333333333,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/sanne.jpg
Playful-Clumsy,victor,3.25,/home/moogs/GitHub/kawaii-polling/static/Playful-Clumsy/victor.jpg
Shy-Gentle,kelly,4.2745098039215685,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/kelly.jpg
Shy-Gentle,leandre,3.1333333333333333,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/leandre.jpg
Shy-Gentle,leandro,3.625,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/leandro.jpg
Shy-Gentle,leslie,3.8666666666666667,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/leslie.jpg
Shy-Gentle,lorenzo,3.6,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/lorenzo.jpg
Shy-Gentle,margot,3.9583333333333335,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/margot.jpg
Shy-Gentle,matheusz,3.425925925925926,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/matheusz.jpg
Shy-Gentle,pradathi,3.7111111111111112,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/pradathi.jpg
Shy-Gentle,renan,4.111111111111111,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/renan.jpg
Shy-Gentle,rose,3.6296296296296298,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/rose.jpg
Shy-Gentle,sanne,4.166666666666667,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/sanne.jpg
Shy-Gentle,victor,3.5833333333333335,/home/moogs/GitHub/kawaii-polling/static/Shy-Gentle/victor.jpg
